,Metal Symbol,M Number,X Symbol,X Number,Metal Sym Number,Metal Group,Metal Row,Metal Mass,Metal Density,Metal Inter-atomic Distance,Metal Covalent Radius,Metal First Ionization Energy,Metal Electron Affinity,X Sym Number,X Group,X Row,X Mass,X Density,X Inter-atomic Distance,X Covalent Radius,X First Ionization Energy,X Electron Affinity,Energy,a,b,c,space_group
Ta4C3 ,Ta,4,C,3,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.97658383,10.412864043379468,10.412864043379468,10.412864027179458,160
V4C3,V,4,C,3,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.8781954,9.544965645540323,9.544965645540323,9.544965733371702,166
Cr3C2 ,Cr,3,C,2,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.50047595,4.821565993527518,4.821565993527518,6.916688,63
Mo3C2 ,Mo,3,C,2,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.4781702,3.044109487387239,3.044109487387239,7.35794,164
Ta3C2 ,Ta,3,C,2,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.96498014,3.1376606335510537,3.1376606335510537,30.326569,164
Ti3C2 ,Ti,3,C,2,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-1.01087654,3.0706433851408077,3.0706433851408077,15.130966,194
V3C2,V,3,C,2,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.81424767,2.9552019953974384,2.9552019953974384,27.562754,164
Cr2C ,Cr,2,C,1,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.73186329,2.833089210871059,2.833089210871059,4.258797,164
Mo2C ,Mo,2,C,1,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.66467793,2.884921359196122,2.884921359196122,5.485081,187
Nb2C ,Nb,2,C,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.96903447,3.106926,4.999598,11.023332,62
Sc2C ,Sc,2,C,1,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.93114353,3.3251416161856926,3.3251416161856926,5.668274,164
Ta2C ,Ta,2,C,1,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.91883635,3.1250525021671236,3.1250525021671236,4.97079,164
Ti2C ,Ti,2,C,1,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-1.07266794,5.133103042090037,5.133103042090037,5.133103415731462,166
V2C,V,2,C,1,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.94328199,2.893003170997225,2.893003170997225,4.532096,164
W2C,W,2,C,1,74,6,6,183.84,19.3,2.510213005,1.62,7.86403,0.816268,74,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.5935564,3.070045283981655,3.070045283981655,4.678428,164
Y2C,Y,2,C,1,39,3,5,88.90585,4.469,3.208654844,1.9,6.21726,0.30712,39,14,2,12.0107,2.2,2.085122401,0.76,11.260288,1.262113612,-0.86653899,3.615818405378373,3.615818405378373,6.482895508610331,166
Hf4N3 ,Hf,4,N,3,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.0403769,10.725674825984843,10.725674825984843,10.725674951051985,160
Nb4N3 ,Nb,4,N,3,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.89496127,5.364965076239173,5.364965076239173,5.364965076239173,139
Ta4N3 ,Ta,4,N,3,73,5,6,180.9479,16.654,2.62277682,1.7,7.549571,0.32312,73,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.70572679,5.318790244463584,5.318790244463584,5.318790244463584,139
V4N3,V,4,N,3,23,5,4,50.9415,6.11,2.401189933,1.53,6.746187,0.527662,23,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.8612572,4.946760426925686,4.946760426925686,4.946760426925686,139
Cr3N2 ,Cr,3,N,2,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.57199624,6.866586688219556,6.866586688219556,7.570042390693991,12
Hf3N2 ,Hf,3,N,2,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.02573532,8.175183025895139,8.175183025895139,8.1751837757585,160
Mo3N2 ,Mo,3,N,2,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.2798031,4.159761,4.159761,4.078757,123
Ti3N2 ,Ti,3,N,2,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.05263341,5.679392874953889,5.679392874953889,5.679392914870039,167
Zr3N2,Zr,3,N,2,40,4,5,91.224,6.506,2.855494701,1.75,6.634126,0.433289,40,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.0971139,6.200687927400717,6.200687927400717,6.200688550739023,167
Cr2N ,Cr,2,N,1,24,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,24,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.64171637,4.409684,4.78461376504499,4.78461376504499,162
Hf2N ,Hf,2,N,1,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-1.12531649,5.348034,5.348034,3.254331,136
Mo2N ,Mo,2,N,1,42,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,42,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.79596622,5.043594590258618,5.043594590258618,5.043594590258618,141
Nb2N ,Nb,2,N,1,41,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,41,15,2,14.0067,0.808,3.064722545,0.71,14.53413,-0.07,-0.81151515,3.1574200602605917,3.1574200602605917,4.856693,164
