Formula,Metal Symbol,M Number,X Symbol,X Number,Metal Mass,Metal Density,Metal Interatomic Distance,Metal Covalent Radius,X Mass,X Density,X Interatomic Distance,X Covalent Radius
Cr2N1,Cr,2,N,1,51.9961,7.19,2.2899726798639817,1.39,14.0067,0.808,3.064722544994379,0.71
Cr3N4,Cr,3,N,4,51.9961,7.19,2.2899726798639817,1.39,14.0067,0.808,3.064722544994379,0.71
Cr5N2,Cr,5,N,2,51.9961,7.19,2.2899726798639817,1.39,14.0067,0.808,3.064722544994379,0.71
Cr1B1,Cr,1,B,1,51.9961,7.19,2.2899726798639817,1.39,10.811,2.34,1.972269889478773,0.84
Cr1B2,Cr,1,B,2,51.9961,7.19,2.2899726798639817,1.39,10.811,2.34,1.972269889478773,0.84
Cr2B1,Cr,2,B,1,51.9961,7.19,2.2899726798639817,1.39,10.811,2.34,1.972269889478773,0.84
Cr3B4,Cr,3,B,4,51.9961,7.19,2.2899726798639817,1.39,10.811,2.34,1.972269889478773,0.84
Cr5B2,Cr,5,B,2,51.9961,7.19,2.2899726798639817,1.39,10.811,2.34,1.972269889478773,0.84
Cr1C1,Cr,1,C,1,51.9961,7.19,2.2899726798639817,1.39,12.0107,2.2,2.085122400680275,0.76
Cr1C2,Cr,1,C,2,51.9961,7.19,2.2899726798639817,1.39,12.0107,2.2,2.085122400680275,0.76
Cr2C1,Cr,2,C,1,51.9961,7.19,2.2899726798639817,1.39,12.0107,2.2,2.085122400680275,0.76
Cr3C4,Cr,3,C,4,51.9961,7.19,2.2899726798639817,1.39,12.0107,2.2,2.085122400680275,0.76
Cr5C2,Cr,5,C,2,51.9961,7.19,2.2899726798639817,1.39,12.0107,2.2,2.085122400680275,0.76
W1N1,W,1,N,1,183.84,19.3,2.510213004823371,1.62,14.0067,0.808,3.064722544994379,0.71
W1N2,W,1,N,2,183.84,19.3,2.510213004823371,1.62,14.0067,0.808,3.064722544994379,0.71
W2N1,W,2,N,1,183.84,19.3,2.510213004823371,1.62,14.0067,0.808,3.064722544994379,0.71
W3N4,W,3,N,4,183.84,19.3,2.510213004823371,1.62,14.0067,0.808,3.064722544994379,0.71
